virus,realm,locus_tag,host,type,shape,corr,p.value
Dinoroseobacter phage vB DshS-R5C,NA,FDH38,NA,NA,NA,0.528813559322034,2.23957372636732e-05
Gayfeather mild mottle virus,Riboviria,GfMMV,land plants,ss-RNA,linear,-0.13927527761543,0.291940924410786
Feldmannia species virus,Varidnaviria,FeldSpV,eukaryotic algae,DNA,linear,0.0732904734073641,0.580260964902203
Stenotrophomonas phage S1,Duplodnaviria,StPS1,bacteria,DNA,linear,0.515371127995324,3.83774671181346e-05
Bean leafroll virus,Riboviria,BLRVgp,land plants,RNA,linear,-0.366919929865576,0.00447817431758934
Peromyscus papillomavirus 1,Monodnaviria,D1U38,vertebrates,DNA,circular,-0.311922852133255,0.0165163602986865
Yogue virus,Riboviria,A6B03,vertebrates,RNA,linear,-0.39906487434249,0.00188283268640384
Equid alphaherpesvirus 3,Duplodnaviria,KW74,vertebrates,DNA,linear,0.315254237288136,0.0153525122663802
Klebsiella phage AltoGao,Duplodnaviria,HOS00,bacteria,DNA,linear,0.155639976621859,0.23847226997967
Escherichia phage JES2013,Duplodnaviria,P766,bacteria,DNA,linear,-0.281005260081824,0.0314311367161719
Wenzhou picorna-like virus 15,Riboviria,BWS95,invertebrates,RNA,linear,-0.292869666861485,0.0247341093260535
Gordonia phage Twister6,Duplodnaviria,BI083,bacteria,DNA,linear,0.56312098188194,5.15255962343544e-06
Porcine bocavirus H18,Monodnaviria,D1R56,vertebrates,ss-DNA,linear,-0.431794272355348,0.000714832387502633
Mycobacterium Phage Niklas,Duplodnaviria,I5H04,bacteria,DNA,linear,0.476680303915839,0.000162056962507333
Spartina mottle virus,Riboviria,FK919,land plants,RNA,linear,-0.22612199698545,0.0879174188424051
Ligustrum virus A,Riboviria,BI088,land plants,RNA,linear,-0.431268264172998,0.00072657370782143
Hop mosaic virus,Riboviria,HpMV,land plants,ss-RNA,linear,-0.405961426066628,0.00154679037249698
Odonata-associated circular virus-2,unclassified viruses,EXJ49,invertebrates,ss-DNA,circular,-0.449897470950103,0.000573102854133322
Flamingopox virus FGPVKD09,Varidnaviria,C1178,vertebrates,DNA,linear,-0.450321449444769,0.000396373330814589
Vibrio phage Ceto,Duplodnaviria,FDJ19,bacteria,DNA,linear,-0.254646405610754,0.0518712958178697
Wenzhou picorna-like virus 27,Riboviria,BWS82,invertebrates,RNA,linear,-0.105493863237873,0.425479791828563
Vibrio phage Vp670,Duplodnaviria,HOR54,bacteria,DNA,linear,-0.186440677966102,0.157066337290383
Marituba virus,Riboviria,CAU78,human:invertebrates:vertebrates,RNA,linear,-0.436177673874927,0.00062348738672958
Vibrio phage VpV262,Duplodnaviria,VpV262p,bacteria,DNA,circular,0.0905902980713034,0.494004414281561
Rice virus A,Riboviria,CKM62,land plants,RNA,linear,-0.144652250146113,0.27356611903984
Clanis bilineata nucleopolyhedrovirus,NA,CBNV,NA,DNA,linear,-0.373641145528931,0.00376094322962307
Chino del tomate Amazonas virus,Monodnaviria,D1Q66,land plants,DNA,linear,-0.194564582115722,0.139525603940351
Bacillus phage BeachBum,Duplodnaviria,H3010,bacteria,DNA,linear,-0.349327878433665,0.0069596660651037
Sweet potato leaf curl Shanghai virus,Monodnaviria,P359,land plants,DNA,circular,-0.295616598480421,0.0233692912958416
Mycobacterium phage WIVsmall,Duplodnaviria,M184,bacteria,DNA,linear,0.502513150204559,6.30449038375813e-05
Macrobrachium rosenbergii nodavirus,Riboviria,MRNV,invertebrates,RNA,linear,-0.350789012273524,0.00671520149928707
Mycobacterium phage Tiger,Duplodnaviria,FDI11,bacteria,DNA,linear,0.549853886616014,9.2454923959008e-06
Corriparta virus,Riboviria,D1R83,invertebrates,ds-RNA,linear,-0.56125073056692,5.60228116866281e-06
Sugarcane streak virus,Monodnaviria,SSVgp,land plants,ss-DNA,circular,-0.0586606785813159,0.661028641620036
Lonchura maja polyomavirus 1,Monodnaviria,D1U52,vertebrates,DNA,circular,-0.258679135008767,0.0481762477467571
Mycobacterium phage Dusk,Duplodnaviria,SEA,bacteria,DNA,linear,0.578375219170076,2.5638648729812e-06
Biratnagar virus,NA,B5C20,NA,RNA,linear,-0.325949736995909,0.012080723319456
Klebsiella phage vB KpnP P184,NA,KNV77,NA,NA,NA,-0.116364699006429,0.379131499072087
Indian encephalitis associated cyclovirus,Monodnaviria,BV374p,human,DNA,circular,-0.321972376880249,0.0140529632111598
Microplitis demolitor bracovirus,Polydnaviridae,MdBV,invertebrates,DNA,circular,-0.437697253068381,0.000594388031813653
Microplitis demolitor bracovirus,Polydnaviridae,MdBV,invertebrates,DNA,linear,-0.437697253068381,0.000594388031813653
Aeromonas phage 65,Duplodnaviria,ST65p,bacteria,DNA,linear,-0.32676797194623,0.011857426073906
Pseudomonas phage Lana,Duplodnaviria,HOV23,bacteria,DNA,linear,0.613968439509059,4.52791256965049e-07
Aimelvirus 2,NA,CGU91,NA,RNA,linear,-0.138457042665108,0.294806702765747
Desmodus rotundus endogenous retrovirus,Riboviria,ABA94,vertebrates,DNA,linear,-0.194038573933372,0.140614569590632
Yersinia phage vB YenP AP10,NA,AU149,NA,NA,NA,0.359555815312683,0.00540087922899253
Kibale red colobus virus 2,Riboviria,CAU76,vertebrates,RNA,linear,-0.13156049094097,0.319693032344162
Grapevine satellite virus,Riboviria,M524,land plants,RNA,linear,-0.331928960331864,0.0119885053229647
Leanyer virus,Riboviria,FLA89,invertebrates,RNA,linear,-0.455055523085915,0.000339210921399357
Groundnut ringspot and Tomato chlorotic spot virus reassortant,Riboviria,LGMTSG,land plants,RNA,linear,-0.42875511396844,0.000785124517768216
Groundnut yellow spot virus,Riboviria,FK939,land plants,RNA,linear,-0.337388926862611,0.0113302351035436
Hubei arthropod virus 1,Riboviria,BWW23,invertebrates,RNA,linear,-0.269725306838106,0.039150098292462
Mycobacterium phage RockyHorror,Duplodnaviria,FGG57,bacteria,DNA,linear,0.487317358270018,0.000110783896458894
Pseudomonas phage vB PaeP C2-10 Ab09,NA,FG40,NA,NA,NA,0.602162478082993,8.17848119553491e-07
Mycobacterium phage Paito,Duplodnaviria,KDW68,bacteria,DNA,linear,0.458503798947984,0.000302432452419329
Feldmannia irregularis virus a,NA,FK951,NA,DNA,linear,-0.11385154880187,0.389566384508497
Beihai shrimp virus 4,Riboviria,BVK83,invertebrates,RNA,linear,-0.198831092928112,0.130926645820171
Sanxia narna-like virus 1,Riboviria,BWU37,invertebrates,RNA,linear,-0.0952074810052601,0.472177469366386
Pseudoalteromonas phage C5a,Duplodnaviria,HOR41,bacteria,DNA,linear,-0.277381648158971,0.0337577192572038
Hubei picorna-like virus 62,Riboviria,BWR93,invertebrates,RNA,linear,-0.150029222676797,0.255982658902025
Raoultella phage RP180,Duplodnaviria,HOV38,bacteria,DNA,linear,-0.044593804792519,0.736737340526012
Pseudomonas phage vB PaeP C2-10 Ab22,NA,VC51,NA,NA,NA,0.312857977790766,0.0161822493232295
Sida mosaic Bolivia virus 2,Monodnaviria,SiMBoV2,land plants,DNA,circular,-0.319754529514904,0.0138929560393546
Paspalum dilatatum striate mosaic virus,Monodnaviria,C413,land plants,ss-DNA,circular,-0.12729398012858,0.3357437728737
Escherichia phage Skarpretter,Duplodnaviria,HOU67,bacteria,DNA,linear,0.181472822910579,0.168570669310648
Cyclovirus PKgoat11/PAK/2009,Monodnaviria,CyCV,vertebrates,ss-DNA,circular,-0.399357101110462,0.00186736036327104
Bacillus phage DirtyBetty,Duplodnaviria,BIZ88,bacteria,DNA,linear,-0.326241963763881,0.0120005590626429
Karumba virus,Riboviria,CFB61,invertebrates,RNA,linear,-0.385973115137347,0.00270583533167593
Mycoplasma phage MAV1,unclassified viruses,MAV1p,bacteria,DNA,linear,-0.433080070134424,0.000686853197096044
Lomovskayavirus BT1,Duplodnaviria,phiBT1p,bacteria,NA,NA,0.46551724137931,0.000238635254506232
Beihai weivirus-like virus 9,NA,BWV64,NA,RNA,linear,-0.413208649912332,0.00125276955202129
Dakar bat virus,NA,FK860,NA,RNA,linear,-0.296103896103896,0.0270760476227211
Mount Elgon bat virus,Riboviria,CA797,vertebrates,RNA,linear,-0.476797194623028,0.000161391047119986
Inachis io cypovirus 2,NA,BU36,NA,ds-RNA,linear,-0.445295149035652,0.000466577217340199
American grass carp reovirus,Riboviria,AGCRV,vertebrates,RNA,linear,0.350496785505552,0.00676348119827357
Hubei sobemo-like virus 8,Riboviria,BVB01,invertebrates,RNA,linear,-0.223144360023378,0.0893969248169895
Jingmen tombus-like virus 1,Riboviria,B2K49,vertebrates,RNA,linear,-0.0985973115137347,0.456490344125044
Klebsiella phage kpssk3,Duplodnaviria,HOU69,bacteria,DNA,linear,0.422852133255406,0.000939842320344961
Artibeus jamaicensis parvovirus 1,Monodnaviria,Aj,vertebrates,DNA,linear,-0.326183518410286,0.0120165548874613
Gordonia phage Phlop,NA,KNV78,NA,DNA,linear,0.568965517241379,3.9563402201839e-06
Mycobacterium phage Barnyard,Duplodnaviria,Barnyardp,bacteria,DNA,linear,0.540502630040912,1.37870130299541e-05
Pectinobacterium phage PEAT2,NA,F8206,NA,DNA,linear,-0.065458796025716,0.621457026519726
Acinetobacter phage Fri1,Duplodnaviria,AVT44,bacteria,DNA,linear,-0.279661016949153,0.0322779988595832
Pea enation mosaic virus 1,Riboviria,PEMV1gp,land plants,ss-RNA,linear,-0.191233196960842,0.146530791008243
Circoviridae SFBeef,NA,NA35,NA,DNA,linear,-0.39732953072336,0.00237625880966968
Medicago sativa alphapartitivirus 1,Riboviria,F2Q11,land plants,RNA,linear,-0.189362945645821,0.150577346269056
Staphylococcus phage phinm4,Duplodnaviria,AVT75,bacteria,DNA,linear,-0.452659263588545,0.000367128842391001
Natrinema virus SNJ1,Varidnaviria,CWS96,archaea,DNA,circular,0.375745178258329,0.00355844410513898
Red clover cryptic virus 1,Riboviria,U765,land plants,RNA,linear,0.0427819988310929,0.747073940591035
Pityohyphantes rubrofasciatus iflavirus,Riboviria,B5Z29,invertebrates,RNA,linear,-0.42618967055277,0.000944032880740028
Corynebacterium phage SamW,Duplodnaviria,HOU24,bacteria,DNA,linear,0.482727859977237,0.000149896331089686
Synechococcus phage S-CAM4,Duplodnaviria,BOQ05,bacteria,DNA,linear,-0.215429573348919,0.101261868644023
Papaya mosaic virus,Riboviria,PapMVgp,land plants,ss-RNA,linear,-0.225774400935126,0.0856127087627327
Enterococcus phage EF62phi,Duplodnaviria,EF62,bacteria,DNA,linear,-0.489772063120982,0.000101307251838835
Sophora alopecuroides yellow stunt alphasatellite 1a,Alphasatellitidae,D1U00,land plants,ss-DNA,circular,-0.241197691197691,0.0762067459343448
Spodoptera frugiperda rhabdovirus,Riboviria,OA33,invertebrates,RNA,linear,-0.356925774400935,0.00576898758808631
Iotapapillomavirus 1,Monodnaviria,MrpVgp,vertebrates,DNA,circular,-0.369842197545295,0.0041526479683929
Pseudomonas phage Psa21,Duplodnaviria,MZD04,bacteria,DNA,linear,-0.135651665692577,0.304772041285439
Maize streak Reunion virus,Monodnaviria,A3U7,land plants,DNA,circular,0.197720631209819,0.13312495132021
Escherichia phage T5,Duplodnaviria,T5,bacteria,DNA,linear,-0.272063120981882,0.0374324454226549
Melon severe mosaic tospovirus,Riboviria,B2K55,land plants,RNA,linear,-0.41957919345412,0.00103705812278601
Streptomyces phage Aaronocolus,Duplodnaviria,FDI80,bacteria,DNA,linear,0.588600288600289,3.65558174722053e-06
Magnaporthe oryzae polymycovirus 1,Riboviria,KM556,fungi,ss-RNA,linear,0.389304500292227,0.00247051895941127
Acinetobacter phage Ac42,Duplodnaviria,Ac42p,bacteria,DNA,linear,-0.236937463471654,0.0709413491508268
Torque teno virus 1,Anelloviridae,TTVgp,human:vertebrates,ss-DNA,circular,-0.237054354178843,0.0707991589515244
Cyanophage NATL1A-7,Duplodnaviria,CYIG,bacteria,DNA,circular,-0.31291642314436,0.016161561861577
Alphaproteobacteria virus phiJl001,Duplodnaviria,JL001p,bacteria,DNA,linear,0.55406195207481,7.69797468916892e-06
Erwinia phage pEa SNUABM 3,NA,MPK68,NA,NA,NA,0.177089421390999,0.179225980239797
California encephalitis virus,Riboviria,KM459,invertebrates,ss-RNA,linear,-0.434307422559907,0.000661077578132069
Staphylococcus phage 3MRA,Duplodnaviria,AVU46,bacteria,DNA,linear,-0.441028638223261,0.000534868857286441
Hubei picorna-like virus 81,Riboviria,BWS32,invertebrates,RNA,linear,-0.447925189947399,0.000428542025080904
Verrucomicrobia phage P8625,Duplodnaviria,AWI59,bacteria,DNA,linear,-0.15698421975453,0.234403159899874
Tea plant line pattern virus,Riboviria,EXI52,land plants,RNA,linear,-0.359731151373466,0.00537709338788106
Pseudomonas phage inbricus,Duplodnaviria,KMC58,bacteria,DNA,linear,0.662010520163647,3.16117213236254e-08
Mannheimia phage vB MhM 1127AP1,NA,HOR01,NA,NA,NA,-0.339976621858562,0.008717652815913
Lactococcus phage 936,Duplodnaviria,HYO72,bacteria,DNA,linear,-0.369725306838106,0.00416525433689139
Pelargonium zonate spot virus,Riboviria,PZSV,land plants,ss-RNA,linear,-0.379310344827586,0.00323738562065475
Piry virus,Riboviria,D1P14,vertebrates,RNA,linear,-0.458445353594389,0.000303024150144156
Olive viral satellite RNA,Satellites,X662,land plants,RNA,linear,-0.274795918367347,0.0563263522063158
Trocara virus,NA,FK929,NA,RNA,linear,-0.563978127136022,8.79536297255435e-06
Narcissus yellow stripe virus,Riboviria,NYSV,land plants,ss-RNA,linear,-0.558153126826417,6.42924040016619e-06
Finkel-Biskis-Jinkins murine sarcoma virus,Riboviria,D1S92,vertebrates,DNA,linear,0.130216247808299,0.324696144917665
Apple rubbery wood virus 1,Riboviria,KM594,land plants,RNA,linear,-0.410993878618229,0.00147484773007246
Lake Sarah-associated circular virus-13,unclassified viruses,A0S11,invertebrates,ss-DNA,circular,-0.266569257744009,0.0415724459288342
Heterobasidion partitivirus 13,Riboviria,D1S80,fungi,RNA,linear,0.282229536436064,0.0321822971915158
Hubei leech virus 3,Riboviria,BWW56,invertebrates,RNA,linear,-0.286206896551724,0.0283278907751845
Aeropyrum globular virus 1,unclassified archaeal viruses,C1186,archaea,DNA,circular,0.0586791350087668,0.658090110421509
Salmonella phage vB SenS Sasha,NA,HOR37,NA,NA,NA,-0.24833430742256,0.058118439182185
Rhinolophus pusillus bocaparvovirus 1,Monodnaviria,EXJ77,vertebrates,DNA,linear,0.207247223845704,0.115152586232398
Mycobacterium phage Hurricane,Duplodnaviria,I5G83,bacteria,DNA,linear,0.438281706604325,0.000583528937814113
Mycobacterium phage Jamie19,Duplodnaviria,KD935,bacteria,DNA,linear,0.480070134424313,0.000143736173755358
Soybean leaf-associated ourmiavirus 2,NA,FLA57,NA,RNA,linear,0.144298501953305,0.279017452895697
Hubei unio douglasiae virus 3,Riboviria,BWU59,vertebrates,RNA,linear,0.13156049094097,0.319693032344161
Shuangao insect virus 11,Riboviria,BWT69,invertebrates,RNA,linear,-0.146464056107539,0.267553090761717
Bat polyomavirus 6b,Monodnaviria,WX12,vertebrates,DNA,circular,-0.484758066996832,0.000139519393718906
Mojiang virus,Riboviria,OA03,vertebrates,RNA,linear,-0.47229690239626,0.000188929491525319
Chiqui virus,Riboviria,F2Q03,invertebrates,ds-RNA,linear,-0.459731151373466,0.000290248429292697
Mycobacterium phage Tonenili,Duplodnaviria,BI081,bacteria,DNA,linear,0.617007597895967,3.87830685726069e-07
Pseudomonas phage shl2,Duplodnaviria,HOV57,bacteria,DNA,linear,0.645470485096435,8.50110974227397e-08
Beluga whale coronavirus SW1,Riboviria,CoVSW1,vertebrates,RNA,linear,-0.338457042665108,0.00903729740555391
Clostridium phage CPS1,Duplodnaviria,H3026,bacteria,DNA,linear,-0.459229971480425,0.000377752890691834
Nodamura virus,NA,NoVsRNA,NA,RNA,linear,0.16271186440678,0.217606340624427
Odonata-associated circular virus-13,unclassified viruses,EXL06,invertebrates,ss-DNA,circular,-0.458063261602282,0.000392281369279363
Chicken associated huchismacovirus 2,Monodnaviria,D1U59,vertebrates,DNA,circular,-0.37051278107601,0.00442120577960278
Gordonia phage GMA3,Duplodnaviria,AU105,bacteria,DNA,linear,0.109643483343074,0.40741734977002
Gordonia phage Obliviate,Duplodnaviria,BJD61,bacteria,DNA,linear,0.560198714202221,5.87121520902855e-06
Clostera anastomosis granulovirus B,Naldaviricetes,D1P97,invertebrates,DNA,circular,-0.37989479836353,0.00318729098344477
Staphylococcus phage StauST398-4,Duplodnaviria,StauST398,bacteria,DNA,linear,-0.438866160140269,0.000572850631530777
Orsay virus,Riboviria,AQG76,invertebrates,RNA,linear,0.310637054354179,0.0169854365862153
Lactococcus phage LP1502a,Duplodnaviria,HYP51,bacteria,DNA,linear,-0.394564582115722,0.00213609380529957
Bhendi yellow vein India virus [India:Dharwad OYDWR2:2006],Monodnaviria,BhYVIV,land plants,DNA,circular,-0.338047925189947,0.00912508627555552
Strawberry chlorotic fleck-associated virus,Riboviria,SCFAV,land plants,RNA,linear,-0.432670952659264,0.000695645832257095
Tomato leaf curl Cameroon alphasatellite [CM:TOS2D1:To:09],Alphasatellitidae,D1T29,land plants,DNA,circular,-0.401443001443001,0.00256338702424766
Escherichia phage PE37,Duplodnaviria,KMC21,bacteria,DNA,linear,-0.307948568088837,0.0180033262535437
Ononis yellow mosaic virus,Riboviria,OYMVgp,land plants,ss-RNA,linear,0.217533606078317,0.0979104163181762
Tobacco mild green mosaic virus,Riboviria,TMGMVgp,land plants,ss-RNA,linear,-0.426008182349503,0.000853991408326511
Hubei sobemo-like virus 10,Riboviria,BVA71,invertebrates,RNA,linear,-0.351899473991818,0.00653449185512775
Salmonella phage S133,Duplodnaviria,HOT65,bacteria,DNA,circular,-0.196843950905903,0.13488014008532
Enterobacteria phage phi80,Duplodnaviria,ABF05,bacteria,DNA,linear,0.0122150789012274,0.926782612470257
Tellina virus 2,NA,KM460,NA,ss-RNA,linear,0.221274108708358,0.0921673082920185
Hubei sobemo-like virus 40,Riboviria,BVB14,invertebrates,RNA,linear,-0.361075394506137,0.00519778883869863
Whitefly-associated begomovirus 1,Monodnaviria,D1T70,land plants,DNA,circular,-0.134833430742256,0.307719391622358
Helminthosporium victoriae 145S virus,NA,HVV145S,NA,cRNA,linear,-0.426475745178258,0.000841895876592642
Tomato yellow ring virus,Riboviria,KM601,land plants,RNA,linear,-0.423144360023378,0.000931576949925346
Tomato yellow ring virus,Riboviria,KM601,land plants,ss-RNA,linear,-0.423144360023378,0.000931576949925346
Avon-Heathcote Estuary associated circular virus 19,Monodnaviria,VM13,invertebrates,DNA,circular,-0.153945061367621,0.243672173725777
Paramecium bursaria Chlorella virus SC1A,NA,FK950,NA,DNA,linear,-0.516481589713618,3.67356410867452e-05
Mamestra configurata nucleopolyhedrovirus B,Naldaviricetes,McnBVgp,invertebrates,DNA,circular,-0.356808883693746,0.00578584968242125
Klebsiella phage KOX1,Duplodnaviria,HOR76,bacteria,DNA,circular,0.00847457627118644,0.949220649021284
Verbena virus Y,Riboviria,VVY,land plants,RNA,linear,-0.500292226767972,6.8563888269689e-05
Beihai picorna-like virus 123,Riboviria,BVK16,invertebrates,RNA,linear,-0.394097019286967,0.00216408396804055
Angelonia flower break virus,Riboviria,AFBV,land plants,RNA,linear,-0.263763880771479,0.0438287534643855
Circoviridae 8 LDMD-2013,NA,QS54,NA,DNA,circular,-0.412390414962011,0.00128322872474542
Malvastrum leaf curl Philippines virus,Monodnaviria,L856,land plants,DNA,circular,-0.367621274108708,0.00439805107260126
Equus caballus polyomavirus 1,Monodnaviria,EPyV,vertebrates,DNA,circular,-0.395850379894798,0.00206078693856997
Nique virus,Riboviria,KM567,invertebrates,RNA,linear,-0.416540035067212,0.00113538033200959
Tomato leaf curl Cameroon alphasatellite,Alphasatellitidae,NA,land plants,DNA,circular,-0.331151153746435,0.0121993949007688
Acanthamoeba polyphaga moumouvirus,Varidnaviria,H012,protozoa,DNA,linear,-0.425131502045587,0.000877095922597569
Escherichia phage J8-65,Duplodnaviria,PI28,bacteria,DNA,linear,0.498071303331385,7.45266627161859e-05
Microbacterium phage Eleri,Duplodnaviria,FDJ34,bacteria,DNA,linear,0.65831000645975,5.38282659623275e-08
Bellavista virus,Riboviria,FLB10,invertebrates,RNA,linear,-0.416306253652835,0.00114328170413081
Munia coronavirus HKU13-3514,Riboviria,MuCoV,vertebrates,ss-RNA,linear,-0.196902396259497,0.134762585066649
Staphylococcus phage G15,Duplodnaviria,F360,bacteria,DNA,linear,-0.390999415546464,0.00235797198060531
Gill-associated virus,Riboviria,NA,invertebrates,ss-RNA,linear,0.263296317942724,0.044214473415924
